Title,Level,Correct_Answer,Category,Choice_1,Choice_2,Choice_3,Choice_4
"What should be output of below C++ program
if user enters a = 5?

int main()
{
    int a;
    cin>>a; // user can enter any value
    
	if (++a*5 <= 25)
	{
	    cout<<""Hello"";
	}
	else
	{
	    cout<<""Bye"";	
	}

}",Practitioner, B,C++,Hello,Bye,C++ 1z,C++20
"//Find the output of below program:-

int main() 
{
int i = 0, x = 0;

do
{
    if(i % 5 == 0)
    {
       std::cout<(A) 01(B) 012(C) 0(D) 0123 B  CompilerPractitionerloops in C++",Practitioner, B,C++,1,12,C++1z,4 Million +
"What should be printed on screen?

int main() 
{
int x = 5;

if(x++ == 5)
cout<<""Five""<(A) FiveSix(B) Five(C) Six(D) None of these B  CompilerPractitionerconditional in C++",Practitioner, B,C++,FiveSix,Five,3 Million +,C#
"#include

int main() 
{
int i=0, x=0;

for(i=1; i<10; i*=2)
{
    x++;
    std::cout<(A) 1234567899(B) 12345678910(C) 123455(D) 12344 D  CompilerExpertloops in C++",Expert, D,C++,1234567899,12345678910,C++,Both A and B
"How many times 'its a while loop' should be printed?

int main()
{
int i = 1 ;
i = i - 1 ;

while(i)
{
    cout<<""its a while loop"";
    i++ ;
}

return 0;
}",Expert, C,C++,1,2,Stands for Graphic Use Interaction,Integer
"//Assume all headers are included
//What should be printed?

int main()
{
char Text[ ] = ""Cpp@Buzz"";

for(int I=0; Text[I]!=' ';I++)
{
if(!isalpha(Text[I]))
Text[I]='*';
else if(isupper(Text[I]))
Text[I]=Text[I]+1;
else
Text[I] = Text[I+1];
}
cout<(A) *pp@*uzz(B) CPP@BUZZ(C) cpp@buzz(D) Dp@*Czz D  CompilerExpertconditional in C++",Expert, D,C++,*pp@*uzz,CPP@BUZZ,Short,property
"//Find output of below program

#include

int main()
{
int c1,c2;
int a = -8;
int b = 3;
c1 = --a + b;
c2 = a-- + b;
std::cout<<""c1=""<(A) c1=-7,c2=-4(B) c1=-7,c2=-3(C) c1=-4,c1=b-3(D) c1=-6,c2=-6 D  CompilerPractitioneroperators in C++",Practitioner, D,C++,"c1=-7,c2=-4","c1=-7,c2=-3",function,None of the above
"How many times CppBuzz.com is printed here?

int main()
{

for(int i=0; i< 5; i++);
cout<<""CppBuzz.com"";

return 0;
}",Beginner, B,C++,0,1,"char stringNum[20]; int num=100; sprintf(stringNum,""%d"",num);",None of the above
"//Find the output of below program.

#include

int main()
{
for(int i=1;i<=2;i++)
{
for(int j=i;j<=2;j++)
std::cout<(A) 1@2@(B) 1@2@1@(C) 1@1@2@(D) 1@2@2@ C  CompilerPractitionerloops in C++",Practitioner, C,C++,1@2@,1@2@1@,Arguments are placed in Heap,register
Which Exception is thrown when new fails to allocate memory?,Expert, B,C++,std::exception,std::bad_alloc,pascal,None of the above
Which exception is thrown when dynamic_cast fails?,Practitioner, D,C++,std::bad_typeid,std::logic_error,PE,(capture)(parameters)->return-type {body}
Which is the Parent class for all exceptions?,Practitioner, C,C++,std::bad_exception,std::logic_error,[capture][parameters]->return-type {body},It instruct the compiler to generate the default implementation
"What is the extention of the executable file produced
after compiling C/C++ code using g++ on Linux?",Practitioner, B,C++,.exe,.out,It instruct the compiler to set default argument values for any function,None of these
Which part of memory is used for the allocation of local variables declared inside any function.,Expert, B,C++,Heap,Stack,Making up tokens from characters,long long
Car contains Engine. What type of relationship is this?,Practitioner, B,C++,IS-A relation,HAS-A relation,longs long,friend
"Are both of the preprocessor directives solving same purpose?

#include 

#include ""iostream.h""",Practitioner, A,C++,Yes,No,stop,typename t.foo<U>(u);
What is the latest version of C++?,Expert, D,C++,C++ 03,C++ 11,t.template foo<U>(u);,sqrt()
ISO/IEC 14882:1998 represents which version of C++?,Expert, B,C++,C++ 03,C++ 98,goto,mutable
Which of the following is Right Shift operator?,Beginner, D,C++,<,<<,wchar_t,None of these
Which of the following is the least safe type casting in C++?,Expert, C,C++,static_cast,const_cast,It allows a class data member to be modified even though it is the data member of a const object,Register variable are used with high configuration machines
Which keyword is used to write Assembly code within a C++ program?,Practitioner, B,C++,ASM,asm,It takes extra bytes of memory,All of these
"#include

int main()
{
if(-1 == -1){
std::cout<<""Hey.."";
}
else{        std::cout<<""CppBuzz.com"";
}

return 0;
}",Practitioner, A,C++,Hey..,CppBuzz.com,Change value outside by means outside our C program,None of these
C++ 17 is also known as ___,Expert, C,C++,C++ 0x,C++ 98,It inrease execution time of program,Depends on Compiler
Which version of C++ introduced keyword - constexpr?,Expert, B,C++,C++0x,C++11,Pass by pointer/address,ios::tellg
Estimated C++ users?,Practitioner, D,C++,1 Million +,2 Million +,ios::app,g++ -std=cpp11 -o output.out source.cpp
Which language is not a true object-oriented programming language?,Beginner, B,C++,VB.NET,VB 6,g++ -std=c++ 11 -o output.out source.cpp,NULL pointer
What do you understand by GUI?,Beginner, D,C++,"Uses buttons, menus, and icons",Should be easy for a user to manipulate,Last argument,We should ignore implementation of link list using structure as it consume more memory
Which is not an integer data type?,Beginner, A,C++,Single,Byte,We can create link list either by class or structure,nmake option -fname myfile
A constructor is a special type of?,Beginner, C,C++,class,field,nmake option -f myfile,12
What is the best way to convert int to string according to C++ standard?,Expert, B,C++,char *intStr = itoa(a); string str = string(intStr);,std::string s = std::to_string(42);,8,12
What is true ? when we explicitly declare a function to use the __fastcall convention.,Expert, A,C++,Arguments are placed in registers,Arguments are placed in stack,8,12
Which one of these is not calling convention?,Expert, D,C++,cdecl,syscall,8,None of these
Which file format is used in Binaries on Linux,Expert, A,C++,ELF,DLLs,Depends on Compiler,2
What is the correct syntax for lambda expression in C++11?,Expert, A,C++,[capture](parameters)->return-type {body},[parameters](capture)->return-type {body},1,3
"Does below code compiles successfully on C++11?

class C
{
 int a=7;

 public:
        C();
};",Expert, A,C++,Yes,No,1,Some Garbage Value
What is the purpose of 'default' keyword in C++ 11?,Beginner, D,C++,It instruct the compiler to set default value to any variable,It instruct the compiler to set default return value to any function,Compilation Error,4
What do you understand from lexical analysis?,Beginner, C,C++,Checking the Grammar,Finding the type of names and expressions,-1,-4
In C++11 which data type is newly introduced among these?,Beginner, D,C++,long,long int,2,-4
Which keyword in C++ 11 is used to prevent a virtual function from being overridden?,Beginner, A,C++,final,static,1,none of these
"If C functions will be called from C++, 
then C include files will use the following declaration.
is this True / False?

#ifdef __cplusplus
extern ""C"" {
#endif

//C function declarations

#ifdef __cplusplus
}
#endif",Practitioner, A,C++,TRUE,FALSE,1,None of the above
"The following code will fail to compile:

template 
void call_foo(T t, U u) {
  t.foo(u);
}

How would you fix this?",Expert, C,C++,t.foo template<U>(u);,t.foo<typename U>(u);,objects,enum
Which one of these is not a keyword?,Practitioner, D,C++,do,sizeof(),1024,.
C++ 11 introduces a new keyword. Find out that keyword.,Practitioner, B,C++,pragma,override,Depends on Compiler,namespace:a
What is the use of mutable keyword?,Practitioner, C,C++,It makes variable constant,There is no such keyword in C++,class,<fstream>
Why use register keyword in C++ code?,Practitioner, B,C++,It saves the memory,It runs code faster by allocating varibales in CPU register,->,<ostream>
Can a parameter be both const and volatile?,Practitioner, A,C++,Yes,No,namespace->a,<iostream>
What is/are true statements are const volatile variables?,Practitioner, D,C++,It is volatile because it can change at any time,It is const because our C program must not try to modify it,<ifstream>,ios::end
What is the advantage of local variable?,Practitioner, B,C++,It saves memory,It releases memory once it go out of scope,<iofstream>,ios::out & ios::in
Which one of these takes more memory?,Beginner, A,C++,Pass by Value,Pass by reference,<fstream>,Gives the current position of the put pointer
Which one of these is invalide file mode?,Practitioner, D,C++,ios::trunc,ios::ate,ios :: in,Gives the current position of the put pointer
Which one is correct syntax to use C++11 features while compilation?,Expert, B,C++,g++ -std=c++-11 -o output.out source.cpp,g++ -std=c++11 -o output.out source.cpp,ios::out || ios::in,Gives the current position of the put pointer
"In the below program 
int main(int argc, char *argv[]){}
what would be the value of argv[argc]?",Expert, D,C++,Filename,First argument,Gives the current position of the get pointer,Moves get pointer (input) to a specified location
Which one is true ?,Beginner, C,C++,We can create link using structure only,We can create link list using class only,Gives the current position of the get pointer,While
Which one of the following is correct syntax for nmake command?,Expert, A,C++,nmake -f myfile option,nmake -f opiton myfile,Gives the current position of the get pointer,Algorithm
"What should be output of below program? program is compiled on g++ compiler.

#include
using namespace std;

struct student{	
 char a;  char b;  int c;
};

int main()
{
 cout<(A) 4(B) 6(C) 8(D) 12 C  CompilerExpertstructure in C++",Expert, C,C++,4,6,Moves put pointer (output) to a specified location,Bootstrap
"#include
using namespace std;

struct student{	
 char a; int c;	char b;
};

int main()
{
    std::cout<(A) 4(B) 6(C) 8(D) 12 D  CompilerExpertstructure in C++",Expert, D,C++,4,6,If,g++ -f <filename>
"#include


struct student{	
    int a; char b; char c;
};

int main()
{
    std::cout<(A) 4(B) 6(C) 8(D) 12 C  CompilerExpertstructure in C++",Expert, C,C++,4,6,Rekursif,GDB C Compiler
"Is below program of C++ 11 valid & runs without compilation error?
#include 
#include 
#include 
using namespace std;

void print_square(int i)
{
 cout << i*i << endl;
}
int main()
{
 vector v;
 // vector gets filled
 for_each(v.begin(), v.end(), print_square);
 return 0;
}",Expert, A,C++,Yes,No,WxWidget,None of the above
"Is this valid C++ 11 program & get compiled without any error?

#include 
#include 
#include 
using namespace std;

int main() {

vector v;
// vector gets filled

for_each(v.begin(), v.end(),
[](int i) { cout << i*i << endl; } );

return 0;
}",Expert, A,C++,Yes,No,g++ <filename>,0
"Find the output of below program
#include
using namespace std;
enum color{
	Black,
	blue,
	red	
};
int main()
{
    color obj = blue;
    cout<(A) blue(B) 2(C) 1(D) None of these C  CompilerPractitionerenum in C++",Practitioner, C,C++,blue,2,Generic C compiler,error
"#include

enum color{
	black=1,
	blue,
	red	
};
int main()
{
    color obj = blue;
    std::cout<(A) blue(B) Compilation Error(C) 1(D) 2 D  CompilerPractitionerenum in C++",Practitioner, D,C++,blue,Compilation Error,Initialized data section,None of the above
"#include
using namespace std;
enum color{
	black=1,
	blue,
	red	
};
int main()
{
    color obj = yellow;
    cout<(A) yellow(B) black(C) Compilation Error(D) 3 C  CompilerPractitionerenum in C++",Practitioner, C,C++,yellow,black,9,C++20
"#include
using namespace std;
enum color{
	black,
	blue,
	red	
};
int main()
{
    color obj;
    cout<(A) black(B) 0(C) -1(D) Some Garbage Value D  CompilerPractitionerenum in C++",Practitioner, D,C++,black,0,2,C++20
"What should be the output of below program? Please note all programs are compiled on GCC compiler.
#include
using namespace std;
enum color{
	black,
	blue,
	red	
};
int main()
{    
    color obj;
    cout<(A) 0(B) 1(C) 2(D) 4 D  CompilerPractitionerenum in C++",Practitioner, D,C++,0,1,std::string_view,C++20
"#include

enum color{
	black=-5,
	blue,
	red	
};
int main()
{    
    color obj = blue;
    std::cout<(A) Compilation Error(B) 0(C) 1(D) -4 D  CompilerPractitionerenum in C++",Practitioner, D,C++,Compilation Error,0,C++ 17,C++20
"#include

enum color{
	black=-5,
	blue,
	red	
};
int main()
{    
    color obj = blue;
    std::cout<(A) Compilation Error(B) 0(C) 1(D) -4 D  CompilerPractitionerenum in C++",Practitioner, D,C++,Compilation Error,0,C++17,std::vector<int> vecOfInts;
The data elements in structure are also known as ?,Beginner, B,C++,data,members,C++17,Initialize a Vector with 5 int & All default value with be -1
How many elements we can have in any structure?,Practitioner, D,C++,128,256,C++17,1234
Can we initialize structure's elements in structure itself?,Beginner, B,C++,Yes,No,std::vector(int) vecOfInts;,"Initialize vect to 5 string with value ""Hi"" & prints them"
In place of structure which other data type can be used in programming?,Practitioner, C,C++,int,float,Initialize a Vector with 5 int & all default values will be garbage,std::thread threadObj(thread_function());
Can we declare structure inside structure?,Practitioner, A,C++,Yes,No,12340,None of these
Can we typedef in declaring structure?,Practitioner, A,C++,Yes,No,"Initialize vect to 1 string with value ""Hi"" & prints only one",employee[2].hourlyWage = 75.00;
Which operator is used to access the namespace?,Practitioner, B,C++,:?,::,std::thread threadObj((void *)thread_function);,cout<<student1 ->gpa;
What is the correct syntax to access any variable of Namespace?,Practitioner, A,C++,namespace::a,namesspace.a,a tag,1
Which header file is used to only read files in C++?,Beginner, C,C++,<iostream>,<ofstream>,hourlyWage[2].employee = 29.75;,link(open(filename.txt);
Which header file is used to write data into file?,Beginner, A,C++,<ofstream>,<outstream>,cout<<student[1].gpa;,insert
Header file used to perform both read & write operations on files in C++?,Beginner, C,C++,<ofstream>,<ifstream>,‘M’,There is no read position
Which mode of the following will append the file if it already exist in C++?,Practitioner, B,C++,ios :: out,ios :: app,linkstream(“filenemae.txt”),Honda()
If I want use multiple modes in open() function while file handling then which operator is used for this?,Expert, A,C++,ios::out | ios::in,"ios::out, ios::in",put,Hello!
Why seekg() is used in file handling of C++,Practitioner, A,C++,Moves get pointer (input) to a specified location,Moves put pointer (output) to a specified location,Nonexistent until the program declares it,destructor
Why use seekp() in file handling of C++?,Practitioner, B,C++,Moves get pointer (input) to a specified location,Moves put pointer (output) to a specified location,run(),object name
What is the roll of tellg() in C++ file handling?,Practitioner, C,C++,Moves get pointer (input) to a specified location,Moves put pointer (output) to a specified location,Hello!,endif
What is the role of tellp() in C++ file handling?,Practitioner, A,C++,Gives the current position of the put pointer,Gives the current position of the get pointer,constructor,overloaded
The statement structure that is NOT a looping is:,Beginner, C,C++,For,Do…While,class name,register
A process of repeating the workflow is called ...,Beginner, B,C++,Branching,Looping,#ifndef,friend
Which of the following is not a C++ Library?,Practitioner, D,C++,QT,SDL,constructed,When opening the file stream
Which is the correct command used to compile source code (.cpp files) into object code(.o files)?,Expert, B,C++,g++ -o <filename>,g++ -c <filename>,exterb,None of these
GCC compiler is known as?,Beginner, B,C++,The GNU C compiler,GNU C compiler,destructor,None
The command nm on linux lists few symbols. What symbol 'D'represents?,Expert, C,C++,Normal Data Section,Un initialized data section,Only when reading from the file,protected
"#include
using namespace std;

int main()
{
 int x = 9;
 while (x>0)
 x--;
 cout<(A) 9876543210(B) 987654321(C) 9(D) 0 D  CompilerPractitionerloops in C++",Practitioner, D,C++,9876543210,987654321,Function overloading,None
"//How many times will A be printed ?

class A
{

public:
    ~A(){
    std::cout <<""A"";
    }
};
int main()
{
    A obj;
    obj.~A();
}",Practitioner, C,C++,0,1,may,Function will not throw any exception
Which of the following is not a C++ 17 library feature?,Expert, D,C++,std::variant,std::optional,public,Garbage Value is printed
"Is this a valid syntax in C++ 17?

namespace A::B::C {
  int i;
}",Expert, A,C++,Yes,No,protected,NotEqual
"Is this is a valid UTF-8 character literal? 

char x = u8'x';",Expert, A,C++,Yes,No,Function will throw only standard exceptions defined in <exception>,After all #inludes
Lambda expression are feature of which C++ version?,Expert, B,C++,C++11,C++14,Compilation Error,CppBuzz.com
Which C++ version support Digit Separators 1'000'000?,Expert, B,C++,C++11,C++14,EqualNotEqual,constructor.destructor. And ptr is freed
Which version of C++ added feature of auto for return type of functions?,Expert, B,C++,C++11,C++14,In middle of #includes,C++11's weak_ptrs are used for unique ownership
In which version of C++ auto was limited to lambda functions?,Expert, A,C++,C++11,C++14,We can't use only cout from std namespace,We can also reset a shared_ptr by assigning it the value nullptr
What is the correct way to initialize vector in C++?,Practitioner, D,C++,std::vector<integer> vecOfInts;,std::vector int <vecOfInts>,Nothing is printed,Error: Runtime exception
"What is true about his statement in C++?
std::vector vecInts(5);",Practitioner, A,C++,Initialize a Vector with 5 int & all default value is 0,Initialize a Vector with 5 int,constructor.destructor. but ptr is never freed,ptr2 = ptr1
Is it possible to initialize any Vector with an Array in C++?,Practitioner, A,C++,Yes,No,C++11's weak_ptrs are replacement of unique_ptr,Address of ptr | Garbage Value
"Will below program run without any compilation errors?
Assume that all header files are included.

int main()
{

std::list listOfStr;
listOfStr.push_back(""1"");
listOfStr.push_back(""2"");
listOfStr.push_back(""3"");
listOfStr.push_back(""4"");
 
// Initialize a vector with std::list
std::vector vecOfStr(listOfStr.begin(),listOfStr.end());
 
for(std::string str : vecOfStr)
    std::cout<(A) Yes(B) No A  CompilerPractitionerstl in C++",Practitioner, A,C++,Yes,No,It can't  be copied or assigned to another shared_ptr,None of the above
"What should be the output of below program? Assume that all header files are included.

int main()
{
std::list listOfStr;
listOfStr.push_back(""1"");
listOfStr.push_back(""2"");
listOfStr.push_back(""3"");
listOfStr.push_back(""4"");
 
// Initialize a vector with std::list
std::vector vecOfStr(listOfStr.begin(), listOfStr.end());
 
for(std::string str : vecOfStr)
    std::cout<(A) 1 2 3 4(B) 1234(C) 12340(D) 01234 B  CompilerPractitionerstl in C++",Practitioner, B,C++,1 2 3 4,1234,Error: Assignment is not allowed at line 2,bad_alloc
"What does this function do?

void func() {
	std::vector vecOfString(5, ""Hi"");
 
	for (std::string str : vecOfStr)
		std::cout << str << std::endl;
 
}",Practitioner, D,C++,"Initialize vect to 5 string with value ""Hi""","Initialize vect's first element to a string with value ""Hi"" & prints them",ptr2 = std::move(ptr1);,48
"Correct syntax for creating a thread using Function Pointer?
thread_function is the name of function which need to be executed
in separate thread.",Expert, A,C++,std::thread threadObj(thread_function);,std::thread threadObj(&thread_function);,Address of ptr | 0,None of the Above
A struct can contain members of various data types,Beginner, A,C++,TRUE,FALSE,Runtime error (Segmentation fault),Hello Base Hello Derived
Structure variables may be passed as arguments to functions,Beginner, A,C++,TRUE,FALSE,out_of_range,
"You can define any number of union variables, but each variable can store the value of one member at a time",Beginner, A,C++,TRUE,FALSE,84,
"In the following structure declaration, idNum is:
Struct Employee
{
String name;
int idNum;
};",Beginner, A,C++,a member,an array,basebase,
Which of the following statements assigns a value to the hourlyWage member of employee[2]?,Beginner, D,C++,employee[2]->hourlyWage = 50.00;,employee2.hourlyWage = 7.50;,Hello Derived Hello Base,
Which of the following statements outputs the value of the gpa member of element 1 of the student array?,Beginner, C,C++,cout<<student1.gpa;,cout<<firstStudent.gpa;,,
"After the following statement executes, what value will the MAPLE enumerator be stored as, in memory?

enum Tree { OAK, MAPLE, PINE };",Beginner, D,C++,MAPLE,2,,
Data stored in RAM disappears once a program ends or the computer is powered down.,Beginner, A,C++,TRUE,FALSE,,
When you store data in a variable it is automatically saved in a file,Beginner, B,C++,TRUE,FALSE,,
"By default, files are opened in binary mode",Beginner, B,C++,TRUE,FALSE,,
Which of the following statements opens a file and links it to a file stream object?,Practitioner, A,C++,file.open(“c:filename.txt”);,open(afile) = link(anObject);,,
Only one file stream object can be declared per C++ program,Beginner, B,C++,TRUE,FALSE,,
Which member function writes a single character to a file?,Beginner, C,C++,get,write,,
Closing a file causes any unsaved information still held in the file buffer to be saved to the file.,Expert, A,C++,TRUE,FALSE,,
